Time resolution is 1 ps
out[82] row=5 col=5 ch=3 y=151
out[83] row=5 col=5 ch=0 y=34
out[84] row=5 col=6 ch=1 y=0
out[85] row=5 col=6 ch=2 y=7
out[86] row=5 col=6 ch=3 y=153
out[87] row=5 col=6 ch=0 y=35
out[88] row=5 col=7 ch=1 y=0
out[89] row=5 col=7 ch=2 y=7
out[90] row=5 col=7 ch=3 y=155
out[91] row=5 col=7 ch=0 y=36
out[92] row=6 col=0 ch=1 y=0
out[93] row=6 col=0 ch=2 y=0
out[94] row=6 col=0 ch=3 y=149
out[95] row=6 col=0 ch=0 y=29
out[96] row=6 col=3 ch=1 y=0
out[97] row=6 col=3 ch=2 y=7
out[98] row=6 col=3 ch=3 y=163
out[99] row=6 col=3 ch=0 y=40
out[100] row=6 col=4 ch=1 y=0
out[101] row=6 col=4 ch=2 y=7
out[102] row=6 col=4 ch=3 y=165
out[103] row=6 col=4 ch=0 y=41
out[104] row=6 col=5 ch=1 y=0
out[105] row=6 col=5 ch=2 y=7
out[106] row=6 col=5 ch=3 y=167
out[107] row=6 col=5 ch=0 y=42
out[108] row=6 col=6 ch=1 y=0
out[109] row=6 col=6 ch=2 y=7
out[110] row=6 col=6 ch=3 y=169
out[111] row=6 col=6 ch=0 y=43
out[112] row=6 col=7 ch=1 y=0
out[113] row=6 col=7 ch=2 y=7
out[114] row=6 col=7 ch=3 y=171
out[115] row=6 col=7 ch=0 y=44
out[116] row=7 col=0 ch=1 y=0
out[117] row=7 col=0 ch=2 y=0
out[118] row=7 col=0 ch=3 y=165
out[119] row=7 col=0 ch=0 y=37
out[120] row=7 col=3 ch=1 y=0
out[121] row=7 col=3 ch=2 y=7
out[122] row=7 col=3 ch=3 y=179
out[123] row=7 col=3 ch=0 y=48
out[124] row=7 col=4 ch=1 y=0
out[125] row=7 col=4 ch=2 y=7
out[126] row=7 col=4 ch=3 y=181
out[127] row=7 col=4 ch=0 y=49
out[128] row=7 col=5 ch=1 y=0
out[129] row=7 col=5 ch=2 y=7
out[130] row=7 col=5 ch=3 y=183
out[131] row=7 col=5 ch=0 y=50
out[132] row=7 col=6 ch=1 y=0
out[133] row=7 col=6 ch=2 y=7
out[134] row=7 col=6 ch=3 y=185
out[135] row=7 col=6 ch=0 y=51
out[136] row=7 col=7 ch=1 y=0
out[137] row=7 col=7 ch=2 y=7
out[138] row=7 col=7 ch=3 y=187
out[139] row=7 col=7 ch=0 y=52
out[140] row=0 col=0 ch=1 y=0
out[141] row=0 col=0 ch=2 y=0
out[142] row=0 col=0 ch=3 y=181
out[143] row=0 col=0 ch=0 y=45
