Time resolution is 1 ps
out[93] row=6 col=0 ch=2 y=0
out[94] row=6 col=0 ch=3 y=0
out[95] row=6 col=0 ch=0 y=0
out[96] row=6 col=3 ch=1 y=0
out[97] row=6 col=3 ch=2 y=0
out[98] row=6 col=3 ch=3 y=0
out[99] row=6 col=3 ch=0 y=7
out[100] row=6 col=4 ch=1 y=0
out[101] row=6 col=4 ch=2 y=0
out[102] row=6 col=4 ch=3 y=0
out[103] row=6 col=4 ch=0 y=7
out[104] row=6 col=5 ch=1 y=0
out[105] row=6 col=5 ch=2 y=0
out[106] row=6 col=5 ch=3 y=0
out[107] row=6 col=5 ch=0 y=7
out[108] row=6 col=6 ch=1 y=0
out[109] row=6 col=6 ch=2 y=0
out[110] row=6 col=6 ch=3 y=0
out[111] row=6 col=6 ch=0 y=7
out[112] row=6 col=7 ch=1 y=0
out[113] row=6 col=7 ch=2 y=0
out[114] row=6 col=7 ch=3 y=0
out[115] row=6 col=7 ch=0 y=7
out[116] row=7 col=0 ch=1 y=17
out[117] row=7 col=0 ch=2 y=0
out[118] row=7 col=0 ch=3 y=0
out[119] row=7 col=0 ch=0 y=0
out[120] row=7 col=3 ch=1 y=0
out[121] row=7 col=3 ch=2 y=0
out[122] row=7 col=3 ch=3 y=0
out[123] row=7 col=3 ch=0 y=7
out[124] row=7 col=4 ch=1 y=0
out[125] row=7 col=4 ch=2 y=0
out[126] row=7 col=4 ch=3 y=0
out[127] row=7 col=4 ch=0 y=7
out[128] row=7 col=5 ch=1 y=0
out[129] row=7 col=5 ch=2 y=0
out[130] row=7 col=5 ch=3 y=0
out[131] row=7 col=5 ch=0 y=7
out[132] row=7 col=6 ch=1 y=0
out[133] row=7 col=6 ch=2 y=0
out[134] row=7 col=6 ch=3 y=0
out[135] row=7 col=6 ch=0 y=7
out[136] row=7 col=7 ch=1 y=0
out[137] row=7 col=7 ch=2 y=0
out[138] row=7 col=7 ch=3 y=0
out[139] row=7 col=7 ch=0 y=7
out[140] row=0 col=0 ch=1 y=17
out[141] row=0 col=0 ch=2 y=0
out[142] row=0 col=0 ch=3 y=0
out[143] row=0 col=0 ch=0 y=0

PASS: output count = 144 (expected 144)
$finish called at time : 4065 ns : File "C:/Users/sagar/CONV_2D_RTL/CONV_2D_RTL.srcs/sim_3/new/tb_conv1_streaming_top.sv" Line 72
